%time,field.ad1,field.ad2,field.ad3,field.ad4,field.ad5,field.ad6,field.ad7
1716469672065979024,2234,2244,2831,2854,2875,2895,2952
1716469672080710150,2233,2229,2854,2799,2748,2744,2974
1716469672095295283,2244,2255,2844,2836,2826,2886,2962
1716469672110246571,2222,2216,2825,2777,2734,2716,2901
1716469672125502510,2210,2214,2831,2840,2843,2744,2945
1716469672140203232,2242,2258,2846,2804,2753,2741,2940
1716469672155764990,2216,2204,2854,2799,2744,2719,2931
1716469672170237320,2272,2266,2824,2796,2752,2764,3001
1716469672185554151,2207,2212,2860,2810,2849,2896,2887
1716469672200188078,2194,2201,2860,2781,2764,2765,2994
1716469672215222750,2252,2256,2844,2846,2832,2764,2923
1716469672376287441,2252,2256,2844,2846,2832,2764,2923
1716469672391231857,2245,2233,2825,2788,2741,2730,2894
1716469672406270525,2268,2252,2802,2832,2832,2867,2928
1716469672421282030,2216,2224,2858,2804,2758,2770,2972
1716469672436327535,2232,2233,2830,2860,2851,2770,2940
1716469672451228403,2222,2223,2852,2808,2764,2746,2934
1716469672466868887,2260,2263,2812,2832,2732,2717,2914
1716469672481253970,2252,2207,2863,2810,2763,2759,2995
1716469672496241493,2232,2242,2850,2806,2741,2721,2893
1716469672511233257,2246,2233,2854,2804,2766,2748,2986
1716469672526590960,2215,2209,2833,2804,2734,2724,2895
1716469672541276607,2240,2244,2825,2799,2782,2760,3232
1716469672556247405,2214,2216,2857,2789,2734,2722,2903
1716469672571188416,2231,2221,2853,2785,2736,2708,2867
1716469672586216991,2272,2252,2824,2830,2740,2745,2951
1716469672601233002,2235,2225,2853,2811,2726,2726,2894
1716469672616144913,2232,2229,2831,2809,2765,2744,2949
1716469672631223738,2248,2234,2818,2795,2748,2736,2988
1716469672646215437,2244,2216,2852,2802,2763,2722,2856
1716469672662622861,2216,2216,2857,2816,2790,2774,2926
1716469672677269380,2248,2248,2816,2837,2828,2736,2905
1716469672692257637,2247,2241,2829,2797,2754,2743,2893
1716469672707188559,2252,2273,2854,2854,2822,2732,2923
1716469672722261478,2224,2217,2854,2816,2773,2730,2970
1716469672737146991,2264,2248,2826,2863,2781,2748,2904
1716469672752240594,2249,2233,2860,2809,2737,2726,2985
1716469672768153085,2210,2208,2855,2812,2728,2884,3253
1716469672783725506,2254,2250,2845,2825,2756,2728,2895
1716469672798184354,2206,2212,2864,2799,2853,2914,3238
1716469672813222667,2233,2261,2853,2794,2744,2735,2949
1716469672828167114,2206,2230,2826,2842,2846,2905,2957
1716469672843249294,2249,2230,2844,2816,2780,2779,2976
1716469672858218903,2246,2242,2844,2848,2848,2754,2911
1716469672873244172,2232,2232,2845,2810,2770,2744,2986
1716469672888196031,2220,2211,2828,2794,2724,2694,2862
1716469672903284931,2226,2230,2840,2800,2743,2761,3001
1716469672918248755,2211,2208,2861,2799,2748,2729,2920
1716469672933290736,2217,2217,2849,2794,2765,2777,3016
1716469672948202806,2224,2216,2849,2848,2841,2758,2934
1716469672963630682,2245,2255,2819,2803,2748,2697,3164
1716469672979262301,2225,2220,2846,2810,2740,2736,2947
1716469672994254414,2240,2200,2868,2795,2753,2760,2990
1716469673009509043,2249,2258,2821,2790,2738,2718,2865
1716469673025269324,2252,2241,2824,2785,2726,2693,2890
1716469673040219086,2255,2242,2849,2792,2757,2768,2960
1716469673055329827,2234,2242,2836,2841,2836,2765,2974
1716469673070266799,2214,2217,2861,2816,2740,2692,2949
1716469673085354501,2230,2213,2851,2819,2752,2736,2913
1716469673100200525,2202,2206,2856,2798,2736,2692,2913
1716469673115463002,2218,2216,2851,2796,2754,2736,2927
1716469673130233580,2190,2222,2830,2805,2758,2733,2936
1716469673145703726,2245,2209,2857,2800,2728,2685,2834
1716469673160234101,2212,2213,2843,2791,2758,2755,3273
1716469673175209728,2234,2218,2850,2797,2732,2693,2841
1716469673190241988,2220,2210,2828,2789,2735,2873,3216
1716469673205192847,2250,2255,2865,2802,2728,2709,2906
1716469673220160962,2278,2271,2827,2790,2840,2873,3177
1716469673235189922,2253,2245,2861,2810,2728,2736,2956
1716469673251302458,2246,2226,2847,2812,2737,2728,3002
1716469673266303451,2250,2248,2863,2778,2736,2704,2858
1716469673283610840,2274,2255,2829,2792,2748,2710,2862
1716469673298652552,2256,2240,2852,2808,2732,2700,2932
1716469673317872325,2230,2229,2858,2804,2739,2713,3209
1716469673332540948,2225,2209,2858,2802,2733,2732,2978
1716469673347660376,2248,2244,2856,2811,2764,2774,2967
1716469673364011193,2257,2257,2840,2858,2848,2757,2945
1716469673380059532,2243,2221,2756,2787,2728,2714,2896
1716469673394355621,2253,2252,2847,2800,2771,2729,3230
1716469673409895526,2245,2241,2860,2806,2767,2746,2938
1716469673426009422,2213,2216,2857,2810,2755,2753,2932
1716469673440656928,2266,2257,2828,2788,2720,2701,2872
1716469673456506185,2256,2256,2826,2804,2762,2733,2964
1716469673470719463,2258,2253,2847,2846,2778,2772,2975
1716469673486120989,2242,2211,2852,2810,2730,2722,2967
1716469673500538286,2221,2260,2818,2796,2741,2740,2940
1716469673515286405,2250,2258,2844,2821,2774,2744,2904
1716469673676285128,2250,2258,2844,2821,2774,2744,2904
1716469673691222468,2208,2247,2827,2794,2742,2728,2940
1716469673706278069,2232,2230,2853,2809,2772,2772,3022
1716469673721256260,2212,2224,2825,2809,2752,2764,2952
1716469673736240122,2221,2221,2859,2808,2758,2709,3189
1716469673751219250,2245,2251,2828,2846,2835,2764,2975
1716469673766328255,2203,2210,2856,2810,2754,2746,2962
1716469673781350626,2271,2253,2820,2830,2735,2730,2938
1716469673796553958,2268,2232,2828,2791,2737,2724,3212
1716469673811183757,2221,2228,2847,2824,2780,2754,2898
1716469673826648000,2223,2228,2856,2790,2748,2754,3021
1716469673843226195,2248,2226,2824,2806,2714,2847,3159
1716469673858237038,2266,2249,2847,2848,2766,2744,2936
1716469673873227517,2253,2261,2854,2804,2725,2709,2924
1716469673890210902,2267,2279,2838,2799,2767,2768,3304
1716469673905144206,2339,2337,2856,2865,2832,2730,2884
1716469673920203395,2295,2328,2808,2801,2755,2732,3219
1716469673937236750,2308,2312,2863,2782,2724,2708,2870
1716469673952643122,2309,2334,2808,2804,2741,2728,2894
1716469673968184534,2284,2320,2845,2801,2736,2713,2940
1716469673985243105,2312,2304,2825,2794,2724,2696,2902
1716469674000317726,2280,2285,2849,2823,2760,2900,3217
1716469674015342017,2265,2281,2718,2767,2730,2694,2902
1716469674030747267,2242,2226,2856,2802,2828,2874,3192
1716469674047216426,2253,2220,2851,2802,2759,2745,3268
1716469674062222818,2284,2278,2826,2790,2758,2738,2891
1716469674077836355,2261,2258,2833,2822,2763,2908,3230
1716469674094201804,2206,2262,2834,2811,2738,2704,2900
1716469674109596367,2265,2255,2865,2851,2760,2774,2939
1716469674124178910,2235,2226,2863,2790,2757,2755,2956
1716469674143328226,2228,2246,2852,2810,2746,2729,2959
1716469674156214215,2266,2271,2882,2828,2759,2713,2933
1716469674171668424,2254,2249,2838,2796,2756,2736,2989
1716469674188226307,2252,2242,2856,2806,2743,2712,2891
1716469674204811600,2244,2232,2848,2864,2776,2776,2979
1716469674218616633,2254,2248,2842,2806,2752,2764,3030
1716469674236029972,2240,2244,2829,2793,2730,2742,2916
1716469674251249219,2259,2236,2842,2788,2719,2724,2954
1716469674266384081,2234,2228,2852,2795,2724,2710,2870
1716469674281245522,2232,2220,2840,2804,2738,2697,3178
1716469674298260084,2267,2264,2823,2797,2744,2910,3238
1716469674313642027,2224,2269,2844,2803,2745,2724,2912
1716469674328617954,2248,2192,2844,2801,2764,2768,2991
1716469674345200233,2252,2241,2848,2809,2759,2725,2883
1716469674360703616,2285,2257,2820,2820,2732,2729,2934
1716469674375199990,2276,2267,2847,2792,2720,2700,2866
1716469674392280336,2220,2212,2824,2802,2780,2766,3278
1716469674407194133,2276,2269,2851,2798,2728,2715,2910
1716469674422612011,2224,2209,2860,2775,2722,2704,3207
1716469674439192331,2247,2262,2800,2788,2753,2746,2984
1716469674454319659,2208,2212,2842,2800,2741,2716,2868
1716469674469193311,2259,2260,2851,2801,2761,2732,3250
