%time,field.ad1,field.ad2,field.ad3,field.ad4,field.ad5,field.ad6,field.ad7
1716468664031800224,2242,2230,2818,2804,2739,2720,2885
1716468664046735522,2272,2242,2820,2795,2735,2707,2846
1716468664061220593,2255,2223,2744,2773,2728,2728,2951
1716468664076212171,2254,2253,2834,2787,2833,2874,2926
1716468664091796825,2217,2188,2853,2793,2734,2728,2898
1716468664106207998,2256,2235,2836,2810,2769,2917,2971
1716468664121201107,2214,2196,2855,2818,2773,2755,2949
1716468664136726827,2209,2246,2852,2827,2865,2775,2968
1716468664151525536,2254,2272,2839,2846,2770,2753,2906
1716468664166240353,2254,2257,2835,2855,2849,2897,3184
1716468664181162649,2205,2195,2860,2791,2727,2725,2927
1716468664196917865,2224,2255,2825,2848,2836,2888,2938
1716468664211163197,2242,2218,2846,2784,2727,2721,2920
1716468664226224683,2253,2264,2826,2833,2811,2710,2859
1716468664241463746,2240,2230,2863,2802,2753,2741,2970
1716468664256181411,2248,2241,2851,2817,2773,2765,2956
1716468664271208687,2212,2209,2823,2821,2783,2770,3043
1716468664286185928,2215,2229,2792,2810,2737,2731,2907
1716468664301192341,2235,2234,2851,2816,2758,2753,3215
1716468664316292398,2259,2256,2854,2795,2721,2713,2899
1716468664331242072,2232,2223,2869,2788,2733,2728,2904
1716468664346924412,2247,2232,2854,2797,2739,2730,2928
1716468664361636292,2217,2226,2854,2787,2745,2712,3237
1716468664376245783,2274,2256,2830,2830,2755,2729,2903
1716468664391180400,2290,2258,2826,2805,2742,2724,3206
1716468664406829775,2240,2245,2817,2788,2743,2713,2883
1716468664421431720,2223,2207,2857,2812,2740,2731,3238
1716468664436424641,2224,2214,2855,2786,2723,2723,2894
1716468664451520162,2247,2260,2849,2804,2769,2911,3259
1716468664466204691,2220,2215,2854,2796,2744,2733,2933
1716468664481241767,2209,2214,2849,2820,2864,2914,3229
1716468664496523244,2255,2255,2799,2789,2753,2758,2959
1716468664511265177,2206,2244,2863,2850,2847,2891,3168
1716468664526231038,2233,2240,2848,2801,2756,2765,2959
1716468664541250648,2249,2273,2880,2802,2731,2706,2884
1716468664556220739,2208,2202,2833,2788,2734,2728,2933
1716468664571206632,2260,2273,2836,2857,2846,2760,2965
1716468664586211636,2251,2215,2843,2802,2742,2721,2940
1716468664601281703,2187,2216,2849,2822,2860,2919,2984
1716468664616383628,2223,2232,2844,2821,2758,2739,2886
1716468664631230792,2232,2234,2867,2858,2852,2907,3206
1716468664646134047,2241,2235,2846,2819,2762,2753,3237
1716468664661252508,2218,2247,2850,2858,2853,2747,2907
1716468664676174708,2223,2210,2849,2788,2780,2903,3239
1716468664691211346,2253,2261,2854,2853,2847,2723,2867
1716468664706187635,2235,2231,2862,2791,2752,2894,3217
1716468664721203626,2232,2229,2850,2794,2740,2732,2896
1716468664736181693,2253,2250,2850,2827,2780,2763,3190
1716468664751265899,2229,2230,2853,2806,2741,2718,2900
1716468664766142219,2243,2234,2843,2821,2754,2744,3240
1716468664781723174,2243,2211,2850,2786,2734,2711,2909
1716468664796612844,2214,2216,2842,2788,2758,2888,3182
1716468664811468588,2254,2256,2835,2798,2745,2737,2931
1716468664826348087,2240,2247,2848,2807,2774,2765,2957
1716468664841556805,2268,2221,2844,2806,2767,2776,2962
1716468664856124553,2255,2276,2853,2841,2838,2897,3212
1716468664871160387,2224,2227,2849,2802,2736,2717,2875
1716468664886212670,2312,2274,2827,2816,2837,2873,2914
1716468664901186968,2255,2201,2846,2783,2740,2742,2905
1716468664916214516,2222,2223,2822,2845,2837,2770,2955
1716468664931226963,2230,2250,2853,2801,2757,2752,2989
1716468664946153681,2217,2217,2854,2823,2873,2918,3238
1716468664961451385,2213,2215,2847,2822,2775,2776,3011
1716468664976445199,2255,2250,2853,2855,2850,2905,3190
1716468664991445298,2255,2252,2822,2810,2752,2758,2968
1716468665006271374,2254,2251,2844,2796,2729,2692,2827
1716468665021111483,2289,2276,2817,2776,2737,2724,2921
1716468665036529293,2249,2253,2849,2851,2828,2738,2927
1716468665051181352,2250,2254,2848,2789,2756,2742,2967
1716468665066197922,2275,2287,2857,2837,2756,2772,2964
1716468665081114846,2250,2232,2857,2808,2761,2736,2920
1716468665096626275,2265,2223,2823,2790,2724,2714,2915
1716468665111354498,2251,2235,2830,2805,2747,2727,2925
1716468665126164362,2218,2226,2846,2799,2729,2699,2863
1716468665141172219,2246,2236,2851,2794,2755,2901,3231
1716468665156584242,2256,2229,2855,2801,2762,2758,2938
1716468665171190696,2247,2247,2844,2833,2864,2913,3249
1716468665186388992,2219,2219,2858,2842,2756,2730,2894
1716468665201519504,2256,2251,2829,2807,2760,2889,3162
1716468665217527366,2260,2240,2825,2788,2719,2698,2927
1716468665233227162,2264,2254,2840,2852,2820,2732,2934
1716468665249127340,2228,2236,2850,2805,2743,2914,3231
1716468665263428793,2233,2242,2851,2823,2779,2761,2922
1716468665278271879,2252,2265,2846,2801,2752,2899,3210
1716468665293197668,2258,2264,2836,2806,2728,2705,2847
1716468665308590175,2232,2222,2851,2806,2756,2866,2913
1716468665323324969,2245,2260,2853,2805,2756,2724,2873
1716468665338141377,2211,2216,2850,2794,2776,2923,3246
1716468665353186421,2258,2268,2849,2803,2744,2727,2922
1716468665368113065,2277,2225,2825,2812,2845,2898,3209
1716468665383182712,2218,2232,2852,2802,2747,2741,2948
1716468665398486268,2234,2252,2889,2852,2801,2826,3098
1716468665413770261,2226,2270,2823,2797,2755,2764,2959
1716468665428482864,2211,2245,2848,2803,2725,2682,2858
1716468665443168374,2258,2264,2841,2793,2735,2712,2911
1716468665458327763,2240,2225,2819,2849,2833,2738,2930
1716468665473164212,2267,2276,2835,2781,2711,2696,2906
1716468665487637208,2223,2222,2831,2846,2759,2775,2976
1716468665503172596,2257,2254,2824,2809,2744,2703,2859
1716468665518432278,2223,2226,2883,2859,2810,2704,2889
1716468665533396802,2211,2209,2849,2793,2754,2739,3240
1716468665548200903,2098,2262,2836,2837,2804,2712,2861
1716468665563802698,2244,2240,2829,2807,2767,2901,3223
1716468665578173234,2272,2263,2810,2833,2754,2698,2850
1716468665593516333,2244,2241,2826,2786,2739,2708,2964
1716468665608427791,2216,2213,2853,2817,2746,2716,2888
1716468665623154264,2222,2229,2854,2789,2746,2715,2913
1716468665638190126,2259,2268,2853,2816,2765,2721,2892
1716468665653163904,2207,2204,2849,2783,2730,2744,3220
1716468665668436592,2252,2215,2851,2779,2718,2704,2875
1716468665683161315,2248,2207,2820,2782,2743,2845,3124
1716468665699195555,2261,2248,2817,2826,2801,2837,2816
1716468665714132014,2223,2219,2841,2788,2694,2733,2920
1716468665729162855,2232,2255,2839,2837,2732,2711,2893
1716468665744151283,2255,2265,2828,2790,2745,2716,2950
