%time,field.ad1,field.ad2,field.ad3,field.ad4,field.ad5,field.ad6,field.ad7
1716468238056118248,2266,2265,2824,2798,2771,2916,3234
1716468238071287027,2241,2230,2843,2798,2735,2713,2892
1716468238086328341,2256,2259,2851,2821,2865,2927,2956
1716468238101180643,2263,2245,2847,2799,2743,2732,2937
1716468238116221546,2262,2271,2881,2882,2865,2919,3238
1716468238131354205,2282,2273,2822,2802,2731,2719,2896
1716468238146281832,2214,2225,2848,2798,2811,2828,2827
1716468238161201609,2241,2218,2843,2787,2728,2733,2932
1716468238176170626,2267,2266,2842,2847,2818,2738,2925
1716468238191319732,2249,2245,2848,2797,2759,2737,2965
1716468238206156478,2271,2260,2847,2844,2757,2757,2948
1716468238221393441,2254,2220,2853,2798,2731,2717,2925
1716468238236090785,2279,2258,2864,2807,2747,2734,2925
1716468238251345473,2212,2217,2850,2795,2726,2698,2875
1716468238266068490,2277,2271,2710,2820,2797,2715,2887
1716468238281194930,2220,2220,2849,2798,2775,2924,3240
1716468238296586099,2278,2267,2825,2863,2852,2777,2961
1716468238311587190,2222,2227,2853,2791,2747,2736,3253
1716468238326342505,2230,2240,2853,2850,2890,2930,3229
1716468238341534513,2269,2254,2830,2819,2777,2772,3001
1716468238356140460,2246,2242,2844,2807,2748,2731,2890
1716468238371152773,2219,2206,2852,2809,2763,2765,3288
1716468238386398580,2234,2228,2855,2785,2722,2706,2888
1716468238401227337,2244,2231,2854,2800,2761,2895,3205
1716468238416174332,2229,2250,2855,2784,2755,2756,2945
1716468238431170025,2233,2225,2846,2798,2845,2882,3170
1716468238447023101,2268,2259,2825,2798,2767,2765,2962
1716468238461096680,2269,2247,2869,2860,2843,2739,2914
1716468238476524109,2291,2289,2852,2804,2729,2718,2903
1716468238491091140,2098,2232,2845,2836,2823,2869,2921
1716468238506127079,2267,2226,2860,2801,2735,2709,2886
1716468238521133305,2252,2265,2846,2799,2841,2752,2948
1716468238536092872,2281,2285,2821,2783,2725,2719,2874
1716468238551231579,2228,2242,2841,2831,2865,2757,2932
1716468238566297077,2252,2243,2847,2803,2752,2742,3010
1716468238581110245,2228,2233,2863,2853,2840,2706,2852
1716468238596136123,2274,2306,2850,2801,2744,2732,2933
1716468238611110332,2262,2273,2829,2846,2828,2862,2847
1716468238626112967,2282,2291,2821,2805,2741,2727,2917
1716468238641207670,2243,2255,2852,2797,2738,2714,2871
1716468238656139638,2212,2217,2852,2808,2757,2742,2977
1716468238671378668,2287,2295,2838,2847,2770,2763,2940
1716468238686401634,2221,2218,2848,2805,2760,2739,2973
1716468238701127071,2241,2235,2861,2805,2745,2734,2922
1716468238716605598,2248,2254,2855,2799,2729,2703,3140
1716468238731181602,2233,2244,2840,2850,2834,2709,2865
1716468238746326737,2224,2218,2833,2788,2766,2762,2974
1716468238761386335,2249,2234,2819,2781,2722,2715,2907
1716468238776653776,2269,2275,2853,2833,2861,2911,3247
1716468238791134808,2251,2258,2849,2850,2772,2725,2845
1716468238952186113,2251,2258,2849,2850,2772,2725,2845
1716468238967177073,2207,2218,2861,2801,2753,2742,2945
1716468238982283954,2251,2265,2849,2852,2772,2763,2957
1716468238997219293,2273,2226,2847,2801,2744,2737,3003
1716468239012696239,2260,2244,2848,2811,2745,2718,2872
1716468239027439899,2225,2213,2855,2805,2738,2868,2914
1716468239042131768,2271,2253,2836,2789,2737,2731,2895
1716468239057458819,2137,2262,2736,2775,2757,2907,3242
1716468239072085262,2248,2242,2853,2795,2737,2717,2888
1716468239087218040,2251,2230,2858,2825,2869,2920,3237
1716468239102149134,2271,2269,2825,2794,2744,2747,2941
1716468239117427260,2267,2262,2861,2809,2752,2741,3179
1716468239132091636,2240,2232,2849,2811,2752,2758,2947
1716468239147631539,2252,2256,2841,2793,2735,2690,2828
1716468239162377025,2246,2255,2840,2787,2745,2735,2923
1716468239177123293,2262,2272,2847,2857,2837,2741,2929
1716468239192132511,2217,2217,2855,2794,2737,2717,2958
1716468239207392407,2277,2255,2838,2825,2866,2765,2954
1716468239222119863,2255,2243,2854,2796,2736,2717,2912
1716468239238120453,2252,2107,2855,2756,2745,2721,2951
1716468239253400781,2233,2230,2856,2796,2703,2722,2914
1716468239268117384,2261,2262,2824,2803,2761,2736,2885
1716468239283394979,2234,2233,2844,2798,2733,2716,2907
1716468239298122684,2267,2275,2817,2805,2744,2725,3244
1716468239313181104,2265,2252,2873,2817,2760,2730,2875
1716468239328185871,2265,2243,2838,2786,2771,2912,3244
1716468239343171355,2252,2255,2847,2796,2748,2725,2912
1716468239358457980,2221,2221,2860,2813,2847,2914,3235
1716468239373374729,2262,2243,2851,2806,2755,2755,2935
1716468239388254754,2246,2242,2872,2872,2852,2893,3188
1716468239403144244,2260,2251,2841,2805,2746,2732,2930
1716468239418152510,2232,2257,2857,2844,2841,2870,2911
1716468239433232593,2217,2225,2867,2800,2734,2733,2937
1716468239448211089,2225,2221,2854,2798,2737,2718,2881
1716468239463950955,2228,2252,2818,2790,2762,2754,2978
1716468239479373226,2242,2223,2865,2797,2768,2913,3237
1716468239494031185,2229,2226,2825,2785,2721,2716,2922
1716468239509068307,2253,2253,2845,2811,2852,2921,3240
1716468239524116682,2276,2269,2839,2825,2781,2764,2951
1716468239539072283,2227,2215,2856,2848,2810,2838,3091
1716468239554093879,2263,2269,2828,2797,2743,2731,2932
1716468239569160407,2220,2208,2861,2795,2733,2700,2874
1716468239584157066,2285,2256,2817,2789,2732,2710,2928
1716468239599152614,2230,2221,2754,2798,2775,2902,3216
1716468239614496163,2263,2253,2821,2811,2760,2753,2931
1716468239629094707,2223,2217,2850,2809,2858,2910,3267
1716468239644045897,2267,2277,2809,2792,2737,2710,2874
1716468239659225792,2231,2254,2883,2873,2857,2913,3204
1716468239674808135,2267,2266,2836,2805,2745,2731,2921
1716468239689155416,2255,2272,2849,2854,2839,2867,2924
1716468239704122332,2263,2258,2850,2792,2725,2709,2902
1716468239719130459,2217,2271,2810,2831,2836,2737,2901
1716468239734113014,2305,2230,2849,2790,2757,2744,2988
1716468239749155539,2249,2215,2859,2806,2739,2727,2889
1716468239764337640,2254,2218,2848,2805,2752,2732,2965
1716468239779466848,2260,2271,2853,2798,2735,2713,2892
1716468239794286978,2221,2228,2860,2803,2740,2735,3230
1716468239809233519,2224,2247,2852,2844,2744,2719,2905
1716468239824198634,2276,2273,2829,2789,2758,2861,3103
1716468239839077119,2318,2309,2826,2851,2843,2763,2961
1716468239854154264,2235,2223,2847,2806,2770,2747,2948
1716468239869682165,2274,2274,2855,2844,2757,2770,2968
1716468239884511713,2241,2244,2852,2817,2768,2900,3212
1716468239899225299,2255,2257,2862,2807,2745,2715,2866
1716468239914193002,2263,2228,2824,2797,2739,2743,3245
1716468239929555766,2223,2212,2853,2793,2724,2711,2904
1716468239944122902,2261,2254,2824,2803,2771,2912,3236
1716468239959133474,2262,2284,2845,2797,2743,2722,2893
1716468239974120349,2253,2252,2847,2837,2880,2928,3247
1716468239989110666,2260,2266,2890,2818,2763,2754,2952
1716468240004085112,2219,2223,2882,2857,2832,2871,3168
1716468240019186344,2291,2265,2857,2809,2758,2775,2962
1716468240034179395,2258,2277,2862,2795,2720,2684,2818
1716468240049237659,2269,2225,2847,2804,2731,2723,2913
1716468240064189135,2272,2263,2808,2782,2836,2746,2937
1716468240079193782,2252,2263,2825,2789,2752,2747,2933
1716468240094094948,2269,2264,2826,2813,2856,2765,2949
1716468240109376698,2250,2271,2817,2803,2771,2753,2938
1716468240124107750,2265,2266,2846,2852,2763,2735,2925
1716468240139314607,2259,2252,2822,2793,2722,2700,2911
1716468240154139895,2251,2263,2854,2846,2829,2864,2900
1716468240169227293,2214,2224,2853,2781,2732,2733,2932
1716468240184496300,2241,2248,2855,2853,2834,2767,2957
1716468240199323055,2226,2259,2830,2783,2731,2704,3120
1716468240214428116,2274,2262,2823,2848,2775,2759,2953
1716468240229403623,2249,2235,2845,2809,2764,2747,2980
1716468240244016976,2225,2228,2859,2798,2728,2693,2858
1716468240259802949,2212,2228,2852,2816,2759,2772,3290
1716468240274299673,2223,2235,2834,2796,2719,2706,2891
1716468240289602175,2224,2265,2816,2785,2754,2892,3185
1716468240304098827,2275,2260,2855,2800,2758,2756,2938
1716468240319103439,2231,2223,2823,2790,2745,2724,2889
1716468240334107446,2258,2267,2853,2819,2757,2741,2932
1716468240349249437,2263,2246,2881,2858,2852,2913,3212
1716468240364502277,2204,2265,2842,2831,2768,2743,2908
1716468240379443698,2259,2284,2847,2804,2833,2870,2916
1716468240394728185,2248,2212,2852,2808,2738,2701,2861
1716468240409440203,2250,2241,2846,2798,2771,2897,2919
1716468240424435919,2224,2221,2862,2796,2736,2708,2911
1716468240439478020,2266,2244,2850,2819,2861,2918,3243
1716468240454431365,2236,2230,2848,2817,2773,2772,2965
1716468240469444098,2228,2223,2883,2858,2829,2871,3160
1716468240484494037,2299,2288,2830,2807,2753,2738,2931
1716468240499452963,2235,2243,2853,2842,2819,2866,2890
1716468240514393021,2231,2222,2853,2793,2735,2731,2956
1716468240529111405,2247,2258,2852,2801,2746,2728,2901
1716468240544119967,2240,2244,2852,2798,2770,2744,2971
1716468240559756264,2267,2252,2856,2854,2768,2764,2956
1716468240574137686,2266,2225,2849,2805,2746,2722,2936
1716468240589161377,2274,2271,2830,2792,2742,2739,2926
1716468240604348631,2255,2260,2841,2801,2740,2697,2839
1716468240765145809,2255,2260,2841,2801,2740,2697,2839
1716468240780204119,2231,2224,2853,2804,2719,2709,2888
1716468240795464009,2228,2225,2850,2799,2743,2715,3220
1716468240811505463,2249,2243,2852,2799,2766,2917,3210
1716468240826496938,2235,2252,2884,2853,2844,2896,2923
1716468240841565617,2246,2254,2851,2819,2760,2745,3181
1716468240856901496,2271,2248,2852,2787,2734,2727,2927
1716468240871457586,2266,2257,2816,2784,2743,2722,2887
1716468240886347383,2242,2252,2811,2784,2737,2711,2910
1716468240901223820,2249,2232,2848,2819,2857,2919,3243
1716468240916157084,2271,2269,2847,2796,2729,2712,2895
1716468240931779280,2242,2234,2874,2856,2848,2905,3222
1716468240946432996,2217,2210,2852,2805,2727,2698,2857
1716468240961318878,2259,2253,2853,2850,2821,2861,2904
1716468240976414651,2256,2261,2849,2788,2738,2717,2900
1716468240991127206,2285,2274,2805,2833,2831,2761,2961
