%time,field.ad1,field.ad2,field.ad3,field.ad4,field.ad5,field.ad6,field.ad7
1716468897093531648,2269,2242,2826,2847,2743,2709,2884
1716468897108465396,2250,2245,2854,2791,2731,2707,2951
1716468897123645904,2234,2241,2854,2844,2741,2719,2913
1716468897138407216,2254,2253,2842,2802,2764,2753,2975
1716468897154171837,2220,2113,2881,2849,2846,2892,2901
1716468897168301480,2225,2214,2852,2820,2755,2733,3182
1716468897183818560,2212,2225,2853,2839,2722,2696,2881
1716468897198229824,2225,2234,2846,2791,2725,2689,2840
1716468897213426190,2247,2132,2859,2789,2720,2721,2907
1716468897228220329,2227,2207,2851,2780,2731,2916,3225
1716468897243160410,2246,2235,2853,2835,2736,2718,2896
1716468897258397648,2245,2228,2844,2793,2744,2733,2981
1716468897273184088,2319,2279,2838,2806,2709,2697,2849
1716468897288444049,2225,2215,2853,2796,2738,2706,3240
1716468897304189094,2242,2234,2881,2861,2801,2867,3186
1716468897319196078,2273,2274,2847,2831,2755,2740,2897
1716468897334455861,2246,2245,2849,2850,2827,2851,2889
1716468897349211586,2235,2249,2849,2788,2727,2709,2910
1716468897364153507,2273,2262,2830,2835,2833,2759,2955
1716468897379171096,2246,2248,2837,2794,2739,2706,2951
1716468897394186220,2143,2251,2851,2800,2730,2697,2861
1716468897409499096,2271,2263,2858,2795,2741,2729,2977
1716468897424204394,2252,2243,2860,2823,2773,2738,2907
1716468897439227410,2255,2249,2845,2803,2740,2740,3249
1716468897454224528,2253,2263,2844,2798,2729,2701,2872
1716468897469259682,2275,2262,2827,2801,2759,2900,3202
1716468897485177840,2225,2273,2817,2836,2824,2861,2897
1716468897501247799,2266,2233,2864,2805,2753,2748,2919
1716468897516503282,2212,2236,2827,2799,2737,2736,3237
1716468897531241264,2256,2226,2851,2787,2718,2709,2850
1716468897546641117,2250,2246,2830,2792,2787,2924,3249
1716468897561242016,2275,2278,2834,2841,2761,2741,2918
1716468897576141900,2246,2229,2849,2798,2741,2718,2941
1716468897591914784,2232,2231,2849,2825,2761,2760,2933
1716468897606211815,2247,2244,2847,2821,2767,2721,2840
1716468897621703418,2230,2233,2865,2829,2779,2736,2917
1716468897636180848,2229,2227,2859,2805,2728,2880,2924
1716468897651195355,2261,2233,2827,2785,2728,2685,2841
1716468897666216958,2223,2243,2849,2782,2755,2894,3238
