%time,field.ad1,field.ad2,field.ad3,field.ad4,field.ad5,field.ad6,field.ad7
1716468495174564889,2235,2215,2849,2779,2721,2699,2869
1716468495189532096,2282,2281,2819,2781,2747,2883,3203
1716468495204491467,2242,2230,2853,2801,2732,2714,2920
1716468495219516465,2274,2263,2817,2818,2842,2901,3205
1716468495234417531,2254,2256,2825,2786,2745,2734,2916
1716468495249158507,2232,2240,2849,2826,2762,2748,2890
1716468495264128474,2231,2227,2852,2809,2744,2757,2956
1716468495279292267,2225,2235,2857,2838,2819,2863,2924
1716468495294096398,2243,2254,2847,2792,2727,2717,2899
1716468495309430704,2224,2257,2832,2857,2834,2764,2965
1716468495324129514,2262,2271,2852,2807,2759,2740,2892
1716468495339252869,2207,2220,2826,2850,2770,2769,2977
1716468495354152582,2250,2249,2850,2821,2777,2758,3011
1716468495369888064,2204,2213,2887,2865,2837,2712,2870
1716468495384124042,2221,2218,2854,2805,2742,2726,2928
1716468495399331028,2233,2259,2845,2852,2740,2723,2908
1716468495414590794,2249,2245,2823,2789,2789,2919,3244
1716468495429648597,2271,2255,2823,2789,2810,2737,2892
1716468495444643928,2250,2228,2846,2794,2765,2753,2993
1716468495459443224,2232,2240,2853,2854,2780,2769,2962
1716468495474131953,2257,2265,2821,2801,2734,2725,3186
1716468495489168243,2244,2251,2860,2825,2773,2756,2928
1716468495504250141,2266,2268,2839,2805,2747,2737,3184
1716468495519348910,2241,2204,2852,2783,2725,2713,2883
1716468495534217913,2232,2245,2853,2802,2748,2744,2903
1716468495549534957,2244,2236,2847,2809,2762,2747,2920
1716468495564487243,2261,2252,2846,2825,2860,2916,3249
1716468495579174649,2258,2248,2837,2818,2781,2776,2934
1716468495594201309,2247,2267,2875,2872,2852,2901,3227
1716468495609304236,2231,2253,2827,2795,2724,2684,2841
1716468495624146327,2288,2267,2819,2850,2828,2867,2904
1716468495639141189,2275,2264,2848,2794,2738,2717,2925
1716468495654165561,2240,2247,2846,2800,2783,2924,2969
1716468495669172532,2252,2244,2859,2803,2756,2744,2938
1716468495684294899,2236,2228,2850,2832,2868,2914,3231
1716468495699143911,2222,2223,2859,2810,2763,2764,2997
1716468495714191188,2234,2197,2855,2832,2848,2895,3149
1716468495729188738,2251,2243,2850,2799,2745,2745,2974
1716468495744113819,2209,2231,2852,2844,2825,2729,2903
1716468495759527793,2225,2253,2851,2793,2729,2723,2896
1716468495774209597,2313,2265,2825,2849,2828,2763,2934
1716468495789184154,2253,2260,2842,2826,2781,2759,2985
1716468495804366794,2274,2262,2821,2829,2738,2728,2929
1716468495819468251,2255,2266,2848,2823,2783,2737,2895
1716468495834636143,2231,2235,2857,2808,2756,2742,2904
1716468495849177922,2217,2225,2827,2806,2738,2725,3235
1716468495865459695,2248,2229,2848,2805,2732,2706,2871
1716468495879739534,2223,2218,2859,2785,2761,2900,3234
1716468495894117815,2267,2273,2857,2798,2742,2709,2860
1716468495909208815,2229,2224,2854,2790,2756,2914,3238
1716468495925107001,2220,2223,2857,2841,2841,2727,2930
1716468495940052693,2269,2264,2857,2795,2737,2733,2968
1716468495955063982,2211,2217,2853,2824,2868,2757,2936
1716468495970204624,2214,2274,2854,2808,2765,2762,3033
1716468495985202021,2214,2106,2885,2860,2828,2719,2900
1716468496000099755,2273,2269,2820,2804,2742,2729,2922
1716468496015075452,2206,2216,2850,2790,2803,2833,2852
1716468496030671833,2252,2254,2855,2783,2745,2733,2934
1716468496045581454,2267,2263,2828,2841,2833,2742,2921
1716468496060141599,2229,2219,2856,2791,2755,2738,3209
1716468496075207954,2235,2224,2864,2836,2742,2735,2914
1716468496090492688,2246,2244,2855,2819,2785,2761,2947
1716468496105165347,2277,2273,2835,2791,2737,2725,2927
1716468496120195519,2260,2231,2849,2792,2724,2703,2880
1716468496135159796,2251,2201,2852,2780,2725,2697,2869
1716468496150113043,2285,2220,2853,2788,2778,2916,3242
1716468496165151799,2271,2218,2867,2805,2759,2736,2904
1716468496180229972,2222,2213,2860,2817,2857,2912,3236
1716468496195112733,2261,2255,2853,2796,2727,2693,2861
1716468496210429287,2225,2216,2849,2829,2874,2909,3184
1716468496225380046,2245,2229,2864,2816,2754,2742,2932
1716468496240407162,2263,2250,2821,2806,2760,2763,3284
1716468496255167053,2287,2247,2824,2785,2722,2725,2921
1716468496270234514,2306,2271,2822,2789,2756,2741,2908
1716468496285464352,2271,2278,2829,2790,2758,2754,2995
1716468496300490936,2217,2225,2849,2823,2856,2898,3177
1716468496315634829,2227,2229,2852,2806,2745,2753,2950
1716468496330701495,2277,2283,2856,2846,2821,2734,2909
1716468496345199192,2274,2282,2834,2803,2719,2734,2911
1716468496360316818,2254,2258,2821,2828,2820,2865,2919
1716468496375260336,2232,2235,2853,2809,2755,2741,2888
1716468496390820217,2230,2225,2851,2846,2836,2760,2969
1716468496405152151,2298,2281,2820,2784,2753,2724,2874
1716468496420171274,2270,2260,2853,2863,2781,2773,2963
1716468496435204425,2292,2294,2841,2805,2757,2756,3019
1716468496450250415,2244,2245,2864,2820,2740,2704,2858
1716468496465212797,2264,2258,2853,2806,2760,2757,3240
1716468496480145030,2252,2270,2844,2789,2721,2696,2846
1716468496495178660,2267,2275,2841,2793,2738,2925,3266
1716468496510740716,2245,2249,2854,2805,2753,2742,2940
1716468496525352130,2289,2296,2820,2789,2753,2735,2966
1716468496540200422,2252,2249,2853,2847,2767,2763,2960
1716468496555107226,2263,2253,2849,2811,2772,2757,2995
1716468496570175772,2287,2299,2855,2798,2752,2740,2932
1716468496585409088,2259,2266,2827,2798,2726,2713,3128
1716468496600242115,2249,2218,2852,2799,2738,2712,2889
1716468496615255062,2201,2255,2831,2789,2754,2744,2934
1716468496630822532,2267,2253,2843,2800,2756,2747,2929
1716468496645223227,2241,2268,2853,2823,2864,2907,3243
1716468496660423724,2225,2224,2857,2801,2747,2722,2883
1716468496675643445,2234,2211,2881,2864,2849,2897,3206
1716468496690134923,2228,2281,2823,2795,2746,2718,2883
1716468496706063097,2307,2298,2811,2829,2833,2859,2896
1716468496720155899,2270,2260,2847,2796,2733,2728,2938
1716468496735165533,2266,2251,2841,2865,2842,2746,2916
1716468496750231297,2251,2247,2851,2808,2756,2759,2994
1716468496765927065,2247,2250,2854,2809,2829,2729,2875
1716468496780163025,2229,2223,2852,2799,2741,2737,2971
1716468496795124741,2255,2254,2853,2812,2747,2718,2897
1716468496810147176,2226,2222,2853,2800,2737,2735,2941
