%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1716886059503269352,87707,1716886059501550311,imu_link,-0.00696423027524,0.00293051349972,0.653079295751,0.75725183727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00154802541983,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015567704375,0.00195354215625,9.81070184674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886059668235280,87708,1716886059666533526,imu_link,0.00837339648901,-0.0033440064045,0.653069862852,0.757243988479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000946418875,0.00170940153125,9.81039667096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886059832215580,87709,1716886059831551463,imu_link,-0.00683711671686,0.00283117958776,0.653073798459,0.757258114532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00154802541983,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000946418875,0.0015262960625,9.81070184674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886059998147358,87710,1716886059996531992,imu_link,0.00853820957847,-0.00338703479092,0.653029173976,0.757277046337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000213997,0.0017704366875,9.81009149518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886060162666741,87711,1716886060161611939,imu_link,-0.0067596840738,0.00278473517642,0.653035055747,0.757292392598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000946418875,0.00109904996875,9.81057977643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886060328264596,87712,1716886060326622110,imu_link,0.00866642763116,-0.00338585766881,0.653055509142,0.757252884431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000323405351489,-0.00101591286984,0.000482854698677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00051917278125,0.0015262960625,9.81112909284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886060492505091,87713,1716886060491532854,imu_link,-0.00662543052107,0.0027501456016,0.653029131951,0.757298813675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00051917278125,0.0020145773125,9.81070184674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886060657292718,87714,1716886060656701070,imu_link,0.00872994103825,-0.00348329689144,0.653015073597,0.757286582759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00088538371875,0.00109904996875,9.81003046002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886060823144667,87715,1716886060822531742,imu_link,-0.0066166213194,0.00270284920988,0.653022402629,0.757304863706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008243485625,0.00146526090625,9.81045770612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886060988082224,87716,1716886060987524303,imu_link,0.00880688115297,-0.00341480380133,0.65300836614,0.757291787695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00137366496875,0.00140422575,9.80984735455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
