%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1716886114313495993,88039,1716886114312512409,imu_link,-0.00102863992271,-0.0134539276199,0.647866156711,0.761634674053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033531940625,0.00305217496875,9.80990838971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886114479285045,88040,1716886114477580936,imu_link,0.000372926171419,0.00293360684543,0.647883919962,0.761733339911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.000483800203432,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006404951875,0.00305217496875,9.81088495221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886114644197053,88041,1716886114642512262,imu_link,-0.00088874547132,-0.0135986274698,0.647791721384,0.761695590881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007625655,0.003113210125,9.81106805768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886114809196440,88042,1716886114807532531,imu_link,0.000383385979557,0.00279784365279,0.647810342987,0.761796419396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.000483800203432,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00131188190625,0.003601491375,9.81161737409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886114974238752,88043,1716886114972518525,imu_link,-0.00100801226464,-0.0137003367243,0.647717037676,0.761757129136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007625655,0.0032352804375,9.81051874127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886115139234815,88044,1716886115137509864,imu_link,0.000361634194267,0.00265677150528,0.647737880927,0.761858548812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006404951875,0.00280803434375,9.81119012799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886115304283626,88045,1716886115302524535,imu_link,-0.00109096816753,-0.0138584212388,0.647642478683,0.761817546237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00094567096875,0.00238078825,9.81082391705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886115469511002,88046,1716886115467525205,imu_link,0.000365545490145,0.0025580315445,0.64769841075,0.761892440941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007625655,0.00268596403125,9.81021356549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886115633064152,88047,1716886115632481440,imu_link,-0.00128574241618,-0.0139261949611,0.647635302875,0.761822106814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000518424875,0.00231975309375,9.81027460065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886115798224219,88048,1716886115797597615,imu_link,0.000430816581643,0.00244831956724,0.647692397164,0.761897879498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007625655,0.00293010465625,9.81051874127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
