%time,field.ad1,field.ad2,field.ad3,field.ad4,field.ad5,field.ad6,field.ad7
1716469466480650212,2213,2198,2868,2832,2819,2874,2902
1716469466495409296,2215,2218,2825,2777,2719,2700,3168
1716469466510698663,2197,2215,2854,2833,2812,2705,2919
1716469466525191262,2205,2204,2841,2790,2713,2673,2864
1716469466540228363,2204,2224,2845,2841,2722,2710,2934
1716469466555615941,2189,2190,2852,2777,2720,2710,2973
1716469466570715468,2264,2264,2831,2785,2721,2697,2860
1716469466585217658,2196,2197,2821,2773,2736,2733,2990
1716469466600243304,2208,2212,2842,2788,2728,2698,2852
1716469466615248004,2240,2232,2826,2792,2728,2716,3231
1716469466630584669,2196,2187,2850,2788,2719,2708,2860
1716469466645178141,2216,2220,2844,2809,2765,2890,3210
1716469466661275276,2219,2227,2846,2847,2838,2736,2939
1716469466676199947,2194,2214,2830,2782,2736,2726,2964
1716469466691174411,2203,2199,2852,2791,2742,2700,2887
1716469466706252741,2191,2200,2859,2797,2735,2718,2965
1716469466721289377,2216,2217,2821,2791,2723,2699,2861
1716469466736318675,2245,2225,2837,2796,2737,2728,2945
1716469466751306291,2240,2229,2818,2772,2705,2688,2858
1716469466766260559,2214,2213,2846,2780,2727,2720,2916
1716469466781227249,2104,2225,2848,2845,2847,2740,2920
1716469466796194567,2231,2220,2817,2768,2710,2669,2897
1716469466811224903,2222,2219,2853,2848,2740,2706,2912
1716469466825579346,2209,2204,2845,2799,2707,2689,2828
1716469466842378779,2200,2210,2845,2845,2838,2736,2892
1716469466858380927,2242,2254,2823,2795,2722,2692,2860
1716469466873950672,2210,2210,2852,2795,2742,2711,2966
1716469466888321226,2220,2217,2817,2850,2736,2720,2917
1716469466903793587,2212,2213,2845,2788,2760,2754,3001
1716469466918237605,2223,2225,2857,2805,2752,2741,2934
1716469466933357089,2208,2240,2819,2793,2733,2716,2895
1716469466948379836,2227,2243,2852,2794,2733,2728,2905
1716469466963312016,2260,2208,2857,2802,2732,2714,2905
1716469466978881154,2202,2217,2852,2845,2734,2705,2895
1716469466994545544,2221,2233,2845,2800,2743,2745,2938
1716469467012245852,2192,2201,2848,2844,2818,2719,2912
1716469467027239887,2203,2208,2763,2772,2725,2682,3216
1716469467042316982,2240,2254,2817,2834,2715,2697,2890
