%time,field.ad1,field.ad2,field.ad3,field.ad4,field.ad5,field.ad6,field.ad7
1716469572756269196,2233,2228,2854,2795,2752,2765,3020
1716469572771258988,2243,2224,2828,2789,2753,2732,2882
1716469572786262201,2215,2221,2864,2794,2764,2747,3268
1716469572801241612,2201,2219,2836,2869,2864,2737,2883
1716469572816323828,2223,2243,2824,2809,2736,2881,3218
1716469572831242836,2205,2203,2856,2794,2733,2724,2936
1716469572846588783,2208,2206,2857,2797,2832,2858,3175
1716469572861240320,2257,2255,2830,2806,2752,2760,2968
1716469572876355093,2214,2216,2856,2794,2740,2748,2973
1716469572891306655,2225,2204,2856,2793,2756,2776,2968
1716469572906325748,2242,2246,2820,2808,2765,2713,3186
1716469572926271527,2221,2219,2862,2787,2837,2888,3190
1716469572941373612,2208,2213,2850,2800,2740,2717,2933
1716469572956206769,2234,2243,2841,2832,2834,2884,2928
1716469572971229434,2214,2214,2856,2796,2747,2738,2937
1716469572986220215,2242,2229,2830,2802,2745,2709,2884
1716469573001327909,2207,2192,2858,2792,2741,2725,2960
1716469573016298697,2204,2209,2847,2847,2784,2760,2962
1716469573031281233,2210,2225,2851,2808,2747,2705,2933
1716469573046191077,2200,2196,2809,2797,2726,2719,2926
1716469573061252669,2217,2225,2846,2796,2718,2712,2844
1716469573076177040,2207,2198,2828,2797,2733,2717,2870
1716469573091237757,2215,2206,2864,2789,2748,2713,3235
1716469573106235915,2222,2244,2848,2801,2730,2721,2888
1716469573121253722,2223,2216,2839,2792,2752,2907,3236
1716469573136185673,2270,2270,2828,2837,2741,2720,2876
1716469573151255332,2219,2192,2849,2812,2746,2738,3216
1716469573166214108,2244,2229,2818,2780,2704,2677,2932
1716469573181757375,2248,2229,2824,2786,2725,2862,2893
1716469573196186627,2224,2215,2853,2789,2727,2702,2868
1716469573211211815,2193,2201,2848,2793,2759,2730,3224
1716469573226228068,2218,2205,2775,2788,2698,2692,2946
1716469573241211423,2206,2198,2852,2794,2729,2850,3164
1716469573256173637,2217,2197,2859,2792,2735,2721,2916
1716469573271234795,2240,2224,2820,2786,2719,2700,2881
1716469573286169459,2209,2209,2827,2792,2741,2746,2968
1716469573301203512,2219,2206,2833,2850,2839,2895,2979
1716469573316203449,2217,2225,2857,2785,2739,2725,2900
1716469573331223169,2229,2226,2840,2842,2837,2736,2941
1716469573346599871,2246,2255,2852,2820,2755,2724,2861
1716469573361246217,2204,2202,2857,2810,2736,2895,3205
1716469573376192232,2216,2216,2848,2800,2757,2752,3001
1716469573391231644,2247,2220,2832,2775,2805,2856,2858
1716469573406179580,2198,2208,2856,2796,2737,2737,2960
1716469573421190188,2220,2217,2822,2805,2764,2754,2926
1716469573436181123,2240,2234,2858,2804,2752,2737,3240
1716469573451156642,2209,2208,2853,2793,2722,2690,2832
1716469573466200179,2224,2220,2837,2782,2733,2719,2986
1716469573481269918,2252,2254,2820,2828,2745,2710,2918
1716469573496545078,2226,2214,2851,2798,2720,2716,2965
1716469573511241921,2219,2206,2845,2799,2765,2742,2927
1716469573526211339,2241,2240,2834,2817,2747,2720,2890
1716469573541253326,2244,2217,2821,2789,2752,2737,2906
1716469573702366449,2244,2217,2821,2789,2752,2737,2906
1716469573717256486,2232,2212,2843,2798,2754,2743,2950
1716469573732259533,2256,2234,2818,2760,2733,2715,2888
1716469573747669390,2256,2240,2840,2804,2740,2738,2928
1716469573762259421,2244,2240,2807,2816,2776,2757,2934
1716469573777175510,2243,2230,2837,2807,2752,2725,2889
1716469573792248137,2263,2256,2816,2817,2752,2744,2959
1716469573807226620,2220,2203,2849,2824,2746,2704,3228
1716469573822699406,2216,2220,2851,2817,2776,2755,2911
1716469573837174283,2229,2232,2846,2799,2737,2744,2937
1716469573852514193,2210,2198,2845,2779,2753,2722,2889
1716469573867229256,2267,2213,2853,2785,2731,2709,3232
1716469573882218893,2225,2222,2822,2783,2728,2682,2837
1716469573897258064,2176,2209,2842,2805,2754,2906,3231
1716469573912162560,2253,2245,2829,2792,2712,2705,2921
1716469573927655938,2218,2202,2858,2786,2721,2719,2922
1716469573942236448,2278,2219,2856,2788,2726,2733,2936
1716469573958263581,2252,2227,2857,2806,2720,2704,2973
1716469573973272410,2273,2233,2846,2797,2729,2693,2867
1716469573988572281,2249,2252,2848,2816,2779,2768,2970
1716469574003792695,2244,2213,2857,2793,2740,2721,2900
1716469574018299445,2270,2267,2848,2821,2782,2754,3254
1716469574033314616,2223,2213,2853,2846,2741,2717,2910
1716469574048320548,2232,2224,2854,2797,2716,2844,3153
1716469574063287966,2256,2232,2855,2808,2752,2726,2929
1716469574078723886,2231,2249,2847,2785,2740,2742,2891
1716469574093715573,2244,2228,2817,2798,2743,2730,2938
1716469574108941228,2216,2207,2841,2791,2747,2724,2914
1716469574123889476,2223,2202,2849,2808,2737,2720,2917
1716469574138804544,2207,2217,2857,2796,2736,2720,3225
1716469574153339771,2241,2228,2840,2796,2719,2694,2920
1716469574168195005,2210,2205,2868,2794,2728,2900,3237
1716469574183176732,2200,2191,2861,2799,2708,2714,2910
1716469574198158169,2249,2242,2836,2782,2808,2853,3162
1716469574213256611,2228,2221,2851,2794,2730,2706,2924
1716469574228279094,2199,2201,2843,2836,2834,2880,2952
1716469574243236486,2228,2198,2853,2802,2728,2730,2928
1716469574258276559,2222,2225,2856,2856,2824,2740,2848
1716469574273243078,2201,2233,2823,2786,2732,2716,2952
1716469574288270319,2228,2232,2839,2840,2760,2739,2929
1716469574303173396,2229,2225,2852,2816,2756,2736,2998
1716469574318660820,2224,2266,2848,2821,2778,2765,2936
1716469574334207568,2252,2243,2836,2850,2773,2774,2957
1716469574349541438,2220,2227,2840,2821,2747,2873,3174
1716469574364245328,2251,2246,2808,2803,2757,2762,2971
1716469574379609630,2218,2205,2853,2818,2768,2752,2884
1716469574394179026,2214,2200,2832,2801,2740,2756,2931
1716469574409207363,2236,2228,2822,2788,2832,2734,2925
1716469574424203778,2224,2217,2850,2784,2726,2693,2917
1716469574441295329,2229,2231,2828,2809,2744,2745,2956
1716469574456188022,2224,2241,2818,2840,2841,2903,2962
1716469574471276400,2245,2224,2822,2790,2742,2780,2969
1716469574488220103,2269,2271,2845,2804,2734,2718,2901
1716469574503180490,2218,2204,2863,2773,2820,2885,3204
1716469574518638680,2198,2198,2858,2772,2733,2728,2901
1716469574535185426,2282,2288,2838,2822,2747,2712,2916
1716469574550209984,2292,2283,2852,2804,2725,2699,2857
1716469574565216464,2290,2287,2842,2828,2741,2711,2921
1716469574580562840,2244,2257,2856,2804,2719,2866,3170
1716469574597202313,2332,2282,2832,2789,2747,2732,3245
1716469574612511166,2389,2356,2827,2776,2728,2692,2890
1716469574627227494,2268,2325,2797,2797,2729,2856,3185
1716469574644234663,2282,2268,2839,2802,2756,2780,3011
1716469574659571299,2257,2262,2836,2827,2780,2744,2872
1716469574674231960,2288,2256,2847,2792,2733,2713,3240
1716469574691233652,2240,2231,2862,2792,2738,2718,2934
1716469574706162679,2306,2305,2811,2784,2725,2717,2929
1716469574721204262,2242,2276,2825,2780,2717,2690,2838
1716469574738276730,2267,2259,2822,2778,2762,2729,3002
1716469574753255485,2217,2214,2858,2802,2721,2685,2866
1716469574768227178,2262,2257,2801,2783,2708,2710,2948
1716469574785286198,2245,2228,2874,2793,2755,2745,2918
1716469574800199683,2257,2268,2825,2844,2820,2714,2920
1716469574815180983,2205,2208,2853,2793,2732,2713,2968
1716469574830755385,2262,2245,2823,2828,2744,2716,2925
1716469574848191081,2220,2215,2850,2805,2835,2889,3205
1716469574863256090,2234,2229,2860,2796,2753,2729,2920
