%time,field.ad1,field.ad2,field.ad3,field.ad4,field.ad5,field.ad6,field.ad7
1716469053631353270,2226,2233,2847,2806,2761,2754,2973
1716469053646208624,2280,2225,2869,2802,2746,2721,2887
1716469053661241593,2251,2222,2873,2852,2842,2903,3229
1716469053676168234,2223,2244,2819,2789,2716,2704,2875
1716469053691558383,2215,2219,2840,2800,2741,2869,3167
1716469053706213096,2271,2259,2844,2852,2758,2744,2936
1716469053721269635,2222,2223,2861,2803,2765,2752,2922
1716469053736251254,2278,2260,2823,2838,2759,2753,2963
1716469053751437742,2231,2234,2848,2808,2756,2740,3231
1716469053766244569,2262,2249,2839,2825,2756,2739,2901
1716469053781458202,2253,2250,2811,2789,2732,2726,2919
1716469053796183255,2268,2249,2856,2812,2754,2746,2907
1716469053811479434,2246,2261,2817,2782,2757,2900,3234
1716469053826199007,2248,2242,2849,2804,2738,2714,2863
1716469053841417020,2263,2251,2830,2809,2851,2919,3249
1716469053856216818,2221,2227,2850,2824,2769,2772,2966
1716469053871167200,2241,2250,2848,2827,2876,2897,3185
1716469053886221880,2252,2242,2860,2805,2755,2736,2925
1716469053901176519,2231,2229,2848,2793,2809,2834,2843
1716469053916204290,2276,2263,2833,2799,2727,2714,2934
1716469053931147922,2257,2248,2827,2799,2737,2710,2909
1716469053946239714,2273,2252,2829,2786,2737,2756,2998
1716469053961213079,2235,2251,2834,2862,2782,2763,2965
1716469053976208892,2226,2234,2848,2825,2772,2758,2973
1716469053991180438,2242,2249,2873,2820,2773,2754,2961
1716469054006204599,2241,2244,2838,2802,2740,2719,2895
1716469054021186646,2234,2234,2844,2843,2825,2870,2902
1716469054036520693,2246,2234,2849,2784,2740,2916,3230
1716469054051190151,2108,2236,2844,2847,2841,2769,2981
1716469054066271434,2254,2253,2824,2793,2757,2730,2986
1716469054081526544,2223,2220,2848,2852,2768,2756,2929
1716469054096564492,2203,2208,2854,2802,2756,2752,2987
1716469054111366017,2220,2233,2847,2816,2769,2735,2883
1716469054126826255,2242,2249,2850,2831,2764,2765,3255
1716469054141424688,2277,2248,2848,2799,2723,2711,2899
1716469054156606683,2249,2247,2853,2789,2763,2910,3217
1716469054171210832,2285,2259,2853,2801,2756,2741,2934
1716469054186450762,2273,2262,2821,2811,2839,2886,3181
1716469054201261195,2244,2235,2858,2788,2735,2724,3220
1716469054216288390,2216,2206,2853,2809,2782,2735,2906
1716469054231588127,2253,2257,2856,2828,2768,2758,2933
1716469054246639392,2257,2250,2824,2797,2849,2885,2950
1716469054261522504,2269,2266,2818,2804,2746,2721,2888
1716469054276506089,2276,2261,2825,2860,2836,2764,2965
1716469054292515920,2232,2207,2844,2834,2733,2715,2896
1716469054307167965,2251,2244,2853,2800,2742,2713,2873
1716469054322158416,2270,2272,2841,2849,2832,2743,2917
1716469054337168745,2265,2261,2837,2792,2742,2719,2912
1716469054352193468,2249,2269,2835,2825,2865,2915,3243
1716469054367229658,2231,2241,2846,2813,2745,2736,3003
1716469054382293213,2266,2260,2866,2806,2737,2694,2866
1716469054398186314,2216,2211,2856,2809,2742,2727,3219
1716469054412154032,2243,2233,2856,2796,2723,2702,2864
1716469054427162906,2313,2257,2820,2791,2760,2920,3253
1716469054442248767,2256,2221,2838,2792,2752,2754,2958
1716469054457181912,2262,2252,2817,2821,2854,2900,3205
1716469054473246846,2246,2217,2851,2792,2757,2918,3255
1716469054488394332,2244,2100,2847,2796,2737,2716,2962
1716469054503527041,2296,2250,2828,2837,2741,2723,2883
1716469054518226787,2230,2253,2834,2801,2759,2733,2967
1716469054533345625,2264,2271,2860,2809,2735,2710,2902
1716469054548225513,2216,2212,2854,2808,2739,2743,3247
1716469054563270358,2257,2232,2818,2799,2732,2705,2897
1716469054578227716,2217,2212,2855,2796,2739,2852,3167
1716469054593243467,2241,2233,2846,2847,2836,2756,2916
1716469054608163568,2259,2265,2824,2805,2768,2723,2928
1716469054623239757,2248,2246,2855,2810,2769,2765,2940
1716469054638234816,2281,2292,2829,2797,2720,2693,2888
1716469054653349932,2243,2255,2861,2823,2765,2744,2892
1716469054668221194,2272,2264,2819,2792,2734,2703,3226
1716469054683152912,2242,2212,2860,2807,2748,2731,2891
1716469054698282425,2232,2231,2841,2790,2753,2902,3237
1716469054713245801,2242,2223,2849,2809,2740,2703,2856
1716469054730497575,2247,2255,2851,2820,2771,2764,2954
1716469054745679440,2210,2213,2853,2797,2733,2697,2872
1716469054760138595,2279,2253,2823,2791,2731,2704,2882
1716469054775184702,2228,2210,2860,2793,2765,2908,3244
1716469054790171838,2296,2268,2827,2798,2738,2727,2916
1716469054805163866,2223,2223,2846,2823,2864,2912,3249
1716469054820182340,2246,2235,2857,2816,2773,2733,2862
1716469054835579482,2261,2260,2852,2866,2860,2903,3192
1716469054850441007,2260,2232,2822,2788,2729,2734,2923
1716469054865459017,2214,2241,2856,2802,2829,2883,2931
1716469054880240772,2231,2202,2830,2782,2725,2720,2936
1716469054896176210,2254,2271,2836,2800,2736,2743,3230
1716469054911221477,2228,2236,2850,2855,2854,2908,2957
1716469054926175856,2242,2229,2851,2790,2759,2908,3245
1716469054941190356,2221,2222,2852,2813,2731,2708,2881
1716469054956199782,2269,2261,2821,2794,2872,2910,3220
1716469054971278076,2254,2256,2829,2805,2753,2740,2939
1716469054986180067,2241,2241,2852,2821,2864,2907,3216
1716469055001430392,2247,2253,2838,2821,2771,2753,2948
1716469055016455204,2218,2209,2849,2808,2745,2719,3177
1716469055031302037,2281,2228,2825,2781,2719,2701,2895
1716469055046255484,2221,2220,2852,2796,2741,2741,2910
1716469055061387333,2269,2246,2831,2794,2743,2741,2939
1716469055076471410,2255,2250,2855,2827,2853,2910,3236
1716469055091140026,2262,2249,2831,2816,2772,2765,2935
1716469055106257562,2271,2266,2847,2854,2844,2903,3230
1716469055121278892,2240,2272,2816,2793,2734,2697,2845
1716469055136496236,2230,2241,2861,2800,2832,2858,2901
1716469055151420948,2240,2230,2857,2790,2732,2731,2930
1716469055166243534,2261,2242,2851,2845,2846,2771,2953
1716469055181184857,2220,2242,2835,2790,2744,2736,2990
1716469055196280242,2231,2226,2849,2810,2762,2729,2881
1716469055211241623,2220,2223,2856,2825,2770,2745,2975
1716469055226282984,2261,2265,2851,2852,2834,2887,3138
1716469055241330628,2262,2266,2836,2812,2762,2745,2961
1716469055256163649,2220,2233,2854,2845,2729,2702,2875
1716469055271147744,2225,2224,2857,2798,2764,2888,3175
1716469055286455761,2249,2245,2844,2845,2850,2778,2959
1716469055301298718,2294,2259,2832,2794,2726,2703,2892
1716469055316203927,2225,2224,2852,2845,2765,2773,2990
1716469055331565532,2253,2256,2827,2809,2742,2701,3204
1716469055346221841,2262,2266,2846,2808,2748,2720,2891
1716469055361170611,2224,2225,2853,2812,2754,2757,3255
1716469055376287968,2227,2210,2851,2797,2757,2740,2913
1716469055391252965,2264,2262,2820,2796,2757,2908,3254
1716469055406882813,2224,2217,2851,2787,2747,2709,2852
1716469055421148719,2236,2240,2849,2811,2863,2916,3244
1716469055436116142,2213,2217,2853,2792,2763,2764,2965
1716469055451306914,2266,2228,2855,2845,2828,2881,3172
1716469055466366283,2241,2236,2866,2810,2778,2765,2966
1716469055481387666,2261,2234,2854,2823,2819,2858,2897
1716469055496170047,2221,2214,2852,2792,2727,2736,2949
1716469055511195596,2258,2263,2818,2797,2726,2715,2891
1716469055526192228,2234,2208,2859,2799,2758,2744,2969
1716469055541423994,2267,2153,2820,2803,2765,2755,2950
1716469055556369664,2230,2219,2853,2810,2773,2770,2951
1716469055571177318,2264,2258,2855,2857,2854,2905,3222
1716469055586187030,2253,2249,2822,2800,2729,2701,3106
1716469055601433598,2250,2259,2848,2838,2824,2873,2921
1716469055616534377,2261,2250,2813,2775,2724,2717,2893
1716469055631378846,2269,2253,2836,2855,2850,2759,2957
1716469055646187030,2252,2229,2842,2797,2737,2728,2982
1716469055661309195,2253,2257,2816,2805,2844,2902,2950
1716469055676170927,2249,2245,2845,2822,2792,2771,3003
1716469055691462234,2223,2211,2850,2798,2733,2702,2856
1716469055706268378,2268,2249,2841,2802,2741,2733,3232
1716469055721642573,2255,2245,2840,2776,2721,2708,2892
1716469055736220716,2228,2227,2817,2789,2757,2896,3210
1716469055751272130,2245,2232,2849,2792,2752,2745,2936
1716469055766216167,2218,2219,2856,2799,2824,2859,3153
1716469055781881967,2256,2234,2843,2857,2772,2752,2940
1716469055796172396,2230,2223,2854,2825,2775,2756,2940
1716469055811679185,2226,2227,2860,2818,2773,2754,2959
1716469055826216292,2219,2193,2853,2808,2735,2715,2915
1716469055841205024,2305,2263,2825,2789,2719,2682,2893
1716469055856224908,2261,2273,2846,2796,2755,2910,2954
1716469055871189123,2293,2252,2847,2798,2741,2721,2880
1716469055886274272,2253,2259,2844,2821,2868,2908,3249
1716469055901177343,2244,2247,2847,2820,2775,2757,2930
1716469055916250112,2221,2230,2881,2866,2839,2887,3185
1716469055931187993,2221,2220,2848,2811,2758,2747,2932
1716469055946670506,2232,2264,2848,2836,2824,2880,2950
1716469055961488452,2261,2227,2858,2792,2734,2723,2909
1716469055976168632,2280,2271,2858,2793,2776,2708,2839
1716469055991252842,2249,2220,2828,2791,2752,2735,2980
1716469056006273572,2264,2259,2832,2856,2775,2772,2962
1716469056021273642,2233,2235,2855,2806,2768,2752,2997
1716469056036246317,2258,2256,2851,2826,2779,2758,2936
1716469056051249909,2229,2234,2852,2817,2770,2731,3162
1716469056066283240,2233,2219,2849,2806,2739,2729,3233
1716469056081259380,2207,2199,2856,2791,2745,2744,2901
1716469056096764847,2255,2266,2818,2841,2841,2758,2946
1716469056111539527,2228,2217,2854,2783,2737,2720,3243
1716469056126534986,2209,2222,2851,2868,2784,2775,2953
1716469056141274891,2243,2228,2854,2808,2743,2738,3001
1716469056156361642,2256,2262,2840,2791,2729,2696,2864
1716469056171116690,2222,2220,2855,2797,2753,2735,3239
1716469056186190678,2217,2212,2861,2796,2729,2710,2866
1716469056201214642,2240,2247,2848,2822,2776,2929,3252
1716469056216172540,2242,2226,2855,2796,2758,2741,2937
1716469056231361217,2242,2244,2848,2822,2868,2914,3256
1716469056246208944,2255,2261,2861,2790,2734,2725,2915
1716469056261210495,2219,2213,2853,2809,2830,2871,3119
1716469056276465960,2241,2253,2866,2819,2757,2768,2991
1716469056291181496,2226,2226,2848,2809,2833,2718,2886
1716469056306372421,2266,2235,2834,2798,2735,2727,2885
1716469056321200779,2205,2286,2823,2790,2775,2769,2956
1716469056336130410,2277,2256,2822,2809,2757,2744,2964
1716469056351547617,2261,2261,2849,2831,2786,2769,2980
1716469056366179203,2232,2225,2844,2803,2761,2725,2881
1716469056381355953,2261,2263,2853,2857,2853,2907,3210
1716469056396165496,2249,2249,2822,2787,2720,2708,2903
1716469056411143772,2259,2268,2845,2847,2832,2882,2923
1716469056426499147,2216,2215,2853,2786,2734,2721,2912
1716469056441136281,2267,2255,2854,2857,2831,2741,2901
1716469056456364232,2240,2228,2854,2790,2755,2733,2972
1716469056471175134,2265,2266,2839,2804,2734,2737,2910
1716469056486191721,2220,2228,2767,2802,2756,2732,2973
1716469056501300245,2261,2245,2850,2788,2753,2704,2906
1716469056516230134,2245,2252,2849,2820,2756,2776,3268
1716469056531234709,2241,2205,2857,2801,2734,2713,2893
1716469056546214040,2222,2231,2845,2800,2757,2872,3140
1716469056561442196,2248,2240,2850,2840,2757,2739,2901
1716469056576461346,2223,2217,2856,2802,2854,2746,2933
1716469056591571661,2264,2256,2845,2842,2764,2747,2925
1716469056606191792,2232,2233,2854,2821,2843,2907,3225
1716469056621178095,2227,2233,2857,2798,2739,2702,2875
1716469056637174532,2267,2259,2846,2803,2754,2742,2928
1716469056652141699,2227,2221,2871,2859,2853,2758,2946
1716469056668513649,2228,2234,2825,2787,2737,2730,2928
1716469056683162127,2219,2203,2855,2828,2762,2736,2901
1716469056698242405,2221,2242,2861,2822,2780,2763,2955
1716469056713261991,2251,2250,2821,2817,2753,2743,2965
1716469056728244176,2269,2253,2854,2791,2706,2670,2821
1716469056743541735,2225,2215,2837,2783,2757,2871,3200
1716469056758183424,2285,2246,2852,2792,2735,2715,2897
1716469056773201047,2227,2218,2846,2800,2840,2898,3221
1716469056788115419,2263,2256,2832,2799,2742,2737,2890
1716469056803159127,2234,2242,2869,2869,2844,2882,3149
1716469056818201136,2259,2258,2850,2810,2727,2713,2915
1716469056833389351,2228,2244,2848,2848,2841,2880,2933
1716469056848368231,2274,2260,2855,2801,2754,2744,2925
1716469056863174678,2251,2240,2823,2778,2704,2701,2823
1716469056878191502,2228,2217,2862,2790,2718,2716,2967
1716469056893506995,2228,2197,2856,2848,2747,2717,2934
1716469056908150740,2230,2219,2850,2801,2736,2730,2991
1716469056923154895,2251,2254,2844,2802,2733,2708,2907
1716469056938251933,2218,2207,2848,2795,2733,2717,3172
1716469056953255740,2240,2253,2857,2828,2809,2865,2890
1716469056968978896,2250,2247,2825,2776,2715,2689,2894
1716469056983258277,2217,2224,2862,2844,2824,2728,2894
1716469056998656128,2260,2253,2822,2795,2733,2699,2892
1716469057013131669,2265,2259,2823,2837,2735,2704,2894
1716469057028733452,2231,2221,2855,2793,2738,2722,2977
1716469057043154738,2271,2268,2857,2804,2735,2678,2838
1716469057058218980,2240,2231,2838,2798,2733,2713,3207
1716469057073526109,2255,2241,2856,2789,2712,2676,2817
1716469057088391767,2249,2244,2831,2810,2764,2909,3226
1716469057103421662,2287,2248,2848,2805,2724,2707,2901
1716469057118181151,2245,2230,2843,2837,2872,2914,3228
1716469057133136286,2273,2253,2847,2807,2745,2745,2918
1716469057148135961,2231,2231,2853,2805,2757,2885,3120
1716469057163711783,2263,2257,2833,2817,2768,2760,3001
1716469057178141354,2254,2254,2820,2796,2843,2862,2909
1716469057193438201,2249,2236,2851,2780,2731,2705,2918
1716469057208449599,2227,2220,2836,2796,2852,2744,2947
1716469057223195460,2252,2242,2849,2792,2764,2728,2924
1716469057238201358,2262,2282,2848,2793,2842,2906,3241
1716469057253177570,2217,2219,2858,2800,2723,2692,2852
1716469057268145642,2256,2254,2841,2832,2826,2863,2883
1716469057283189352,2232,2240,2840,2799,2761,2732,2932
1716469057298212312,2213,2228,2849,2846,2831,2861,2903
1716469057313811890,2225,2226,2858,2783,2721,2703,2925
1716469057328423027,2257,2252,2849,2839,2835,2727,2893
1716469057343584070,2247,2229,2820,2785,2757,2734,2967
1716469057358170289,2259,2252,2853,2800,2731,2723,2911
1716469057373390149,2231,2224,2848,2799,2737,2712,2951
1716469057388166010,2278,2283,2870,2803,2731,2709,2874
1716469057403447638,2233,2229,2852,2804,2759,2730,3210
1716469057418186774,2232,2181,2827,2796,2731,2716,3231
1716469057433339834,2243,2243,2841,2785,2741,2852,3114
1716469057448201223,2256,2235,2846,2800,2729,2717,2926
1716469057463318721,2247,2249,2852,2795,2821,2860,2936
1716469057478238069,2283,2252,2825,2843,2724,2729,2902
1716469057493367398,2227,2213,2853,2793,2727,2729,3236
1716469057508197342,2227,2221,2867,2795,2731,2726,2849
1716469057523199405,2274,2258,2824,2784,2745,2717,3218
1716469057538173694,2228,2229,2857,2793,2740,2689,2835
1716469057553469509,2242,2231,2852,2793,2748,2863,3188
1716469057568120832,2244,2228,2847,2792,2753,2755,2939
1716469057583165960,2201,2227,2834,2820,2840,2886,3195
1716469057598532330,2253,2248,2852,2810,2760,2766,2940
1716469057613157248,2226,2208,2875,2842,2828,2861,3166
1716469057628492490,2277,2257,2842,2796,2716,2698,2917
1716469057643322914,2249,2230,2848,2800,2727,2688,2830
1716469057658395197,2289,2217,2868,2779,2745,2735,2901
1716469057673192520,2257,2263,2825,2850,2836,2752,2939
1716469057688288434,2214,2162,2855,2802,2737,2719,2952
1716469057703327598,2229,2228,2844,2856,2761,2729,2925
1716469057718418523,2213,2205,2860,2816,2739,2697,2869
1716469057733205476,2230,2211,2881,2863,2864,2766,2945
1716469057748809375,2241,2234,2838,2824,2760,2765,2974
1716469057763652186,2208,2223,2847,2817,2753,2705,2865
1716469057778352263,2235,2246,2839,2775,2711,2695,2890
1716469057793130506,2245,2230,2848,2861,2828,2765,2947
1716469057808199658,2219,2225,2852,2775,2728,2720,3246
1716469057823231749,2222,2212,2857,2840,2746,2719,2901
1716469057838196711,2262,2307,2822,2803,2746,2734,2963
1716469057853186483,2265,2226,2849,2784,2724,2696,2874
1716469057868192193,2194,2224,2841,2810,2752,2731,3229
1716469057883264649,2249,2240,2819,2784,2726,2681,2844
1716469057898251450,2243,2244,2847,2793,2733,2846,3148
1716469057913232979,2160,2260,2830,2873,2837,2747,2921
1716469057928147463,2246,2247,2844,2793,2753,2754,2915
1716469057943189842,2252,2270,2848,2811,2737,2730,2934
1716469057958203212,2227,2227,2851,2876,2849,2895,3208
1716469057973178174,2218,2213,2875,2825,2768,2740,2897
1716469057988134401,2280,2246,2822,2846,2833,2853,2903
1716469058003279542,2261,2227,2826,2804,2781,2735,2885
1716469058018247389,2219,2215,2852,2777,2752,2882,2917
1716469058033247365,2218,2218,2854,2799,2755,2745,2962
1716469058048206398,2222,2182,2830,2813,2833,2902,3219
1716469058209531151,2222,2182,2830,2813,2833,2902,3219
1716469058224185471,2222,2201,2849,2800,2762,2767,2938
1716469058240248020,2245,2254,2841,2799,2732,2697,2884
1716469058255113616,2283,2277,2807,2845,2834,2741,2925
1716469058270532929,2211,2212,2861,2798,2759,2726,2858
1716469058285122315,2255,2243,2825,2844,2745,2707,2912
1716469058300808106,2220,2212,2836,2784,2727,2704,2961
1716469058315469347,2272,2273,2848,2770,2720,2680,2797
