%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1716886503217228750,90386,1716886503215535226,imu_link,-0.0016284806266,0.00383655000998,0.585804530112,0.810441658255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-0.00111348312592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035701826875,0.004578053875,9.80972528424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886503382513372,90387,1716886503380506239,imu_link,0.00577833612886,-0.011030640333,0.58576430048,0.810385784728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00350914753125,0.0044559835625,9.81003046002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886503547222310,90388,1716886503545558817,imu_link,-0.00153507634507,0.00367057838272,0.585798221102,0.810447169499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030819014375,0.0047001241875,9.8103356358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886503711210970,90389,1716886503710567657,imu_link,0.00579875044126,-0.0112212330009,0.585720251752,0.810414859878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000323405351489,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002959831125,0.00415080778125,9.8103356358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886503877642209,90390,1716886503875632434,imu_link,-0.00146721227386,0.0035517878357,0.58572018787,0.810504221836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00320397175,0.004578053875,9.80996942487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886504041174101,90391,1716886504040559754,imu_link,0.00584524270129,-0.0112849963145,0.585606239712,0.810496029605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-0.00111348312592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00338707721875,0.00451701871875,9.80990838971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886504207206075,90392,1716886504205544718,imu_link,-0.00140499817285,0.0034384346088,0.585607086172,0.810586543049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003448112375,0.004578053875,9.81003046002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886504372223907,90393,1716886504370549636,imu_link,0.00594201201957,-0.0114313587078,0.585527168656,0.81055040022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003936393625,0.004578053875,9.81119012799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886504538221579,90394,1716886504537544324,imu_link,-0.00142972298702,0.00344703924141,0.585563981494,0.810617602442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00350914753125,0.005066335125,9.81027460065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886504704157734,90395,1716886504702515859,imu_link,0.00595276500301,-0.0113614266117,0.585484528114,0.810582105597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001739128,0.00488322965625,9.81039667096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886504869326218,90396,1716886504867538183,imu_link,-0.00224862221938,0.00271649105011,0.590217528955,0.807236540853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028692702977,-0.00261225063622,0.0701896005519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030731575125,-0.0033565164375,9.81155633893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886505033298122,90397,1716886505032628774,imu_link,0.00882237045358,-0.00980395373985,0.607541950779,0.794178082243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00393349539768,-0.00261225063622,0.262814348305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00076331340625,0.00329631559375,9.81198358502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886505199235284,90398,1716886505197560428,imu_link,-0.00123967388747,0.00269147898223,0.62848002351,0.777820081509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000855517959688,-0.00527281361901,0.322410976256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00601233684375,0.0186161398125,9.80777215924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886505364289141,90399,1716886505362559876,imu_link,0.00520651895081,-0.0126427904579,0.647307863533,0.76210601744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830509418342,-0.00420858840261,0.297401671971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189510420625,-0.0116572976875,9.81009149518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886505528236745,90400,1716886505527550615,imu_link,-0.00173540792917,0.00153353703044,0.664184161202,0.747565406256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0151078598788,-0.00474070106902,0.270263945425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002471549875,0.00512737028125,9.81039667096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886505695737401,90401,1716886505693528046,imu_link,0.0103415074772,-0.00921976276086,0.679975775427,0.733103672089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0103188464632,0.00377310042932,0.258025353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052791670625,0.00280803434375,9.80887079205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886505860389915,90402,1716886505859556554,imu_link,-0.00219479669403,0.00161683965627,0.695998310362,0.718038244574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,0.264942800368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111995772187,0.00219768278125,9.80996942487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886506025144262,90403,1716886506024520520,imu_link,0.00955116898224,-0.0090514371757,0.711735621795,0.702324178228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012729324149,0.00749788827926,0.269731824959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00595055378125,-0.0050655008125,9.81100702252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886506191401302,90404,1716886506189556303,imu_link,-0.00243782014165,0.00216095439387,0.726949936468,0.686682734003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00191974317608,-0.00101591286984,0.264410709704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00765953815625,0.00048869840625,9.81137323346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886506356752898,90405,1716886506354561935,imu_link,0.00965278626714,-0.00934738231547,0.742278805189,0.669956435545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028692702977,-0.00208013802803,0.275052940214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00790367878125,-0.00158649690625,9.8103356358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886506526470232,90406,1716886506525544070,imu_link,-0.00250736254171,0.00244872933351,0.758549805475,0.651605639533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00670875653345,-0.00208013802803,0.28675944146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00509606159375,-0.003722727375,9.81015253034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886506691140641,90407,1716886506690557143,imu_link,0.0103506626129,-0.00824499574037,0.772772724063,0.634544876878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00261225063622,0.269199704493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546227253125,0.00549358121875,9.81039667096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886506856418888,90408,1716886506855515325,imu_link,-0.00358445617745,0.00111003581909,0.786783218454,0.617218021978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0103188464632,0.00270887532934,0.270263945425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00906334675,-0.003234446125,9.80874872174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886507021478828,90409,1716886507020568926,imu_link,0.012311328751,-0.00368974773912,0.800555801968,0.599120375952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00393349539768,-0.00261225063622,0.275585060681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558434284375,0.00427287809375,9.81021356549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
